"Province_State";"Country_Region";"Lat";"Long_";"Confirmed";"Deaths"
"Mali";"Mali";17.570692;-3.996166;16946;592
"Malta";"Malta";35.9375;14.3754;38709;463
"Marshall Islands";"Marshall Islands";7.1315;171.1845;4;0
"Mauritania";"Mauritania";21.0079;-10.9408;38647;818
"Mauritius";"Mauritius";-20.348404;57.552152;18979;240
"Aguascalientes";"Mexico";21.8853;-102.2916;36674;2916
"Baja California";"Mexico";30.8406;-115.2838;77099;10146
"Baja California Sur";"Mexico";26.0444;-111.6661;56595;2380
"Campeche";"Mexico";19.8301;-90.5349;24107;2076
"Chiapas";"Mexico";16.7569;-93.1292;23450;2279
"Chihuahua";"Mexico";28.633;-106.0691;71490;8220
"Ciudad de Mexico";"Mexico";19.4326;-99.1332;980197;40047
"Coahuila";"Mexico";27.0587;-101.7068;96361;7509
"Colima";"Mexico";19.1223;-104.0072;33267;2021
"Durango";"Mexico";24.5593;-104.6588;49386;3063
"Guanajuato";"Mexico";21.019;-101.2574;194154;12878
"Guerrero";"Mexico";17.4392;-99.5451;76812;6218
"Hidalgo";"Mexico";20.0911;-98.7624;62548;7835
"Jalisco";"Mexico";20.6595;-103.3494;162714;17491
"Mexico";"Mexico";19.4969;-99.7233;377543;44256
"Michoacan";"Mexico";19.5665;-101.7068;73415;8133
"Morelos";"Mexico";18.6813;-99.1013;50085;4804
"Nayarit";"Mexico";21.7514;-104.8455;34106;2852
"Nuevo Leon";"Mexico";25.5922;-99.9962;206152;13206
"Oaxaca";"Mexico";17.0732;-96.7266;82735;5567
"Puebla";"Mexico";19.0414;-98.2063;124780;15466
"Queretaro";"Mexico";20.5888;-100.3899;98651;5579
"Quintana Roo";"Mexico";19.1817;-88.4791;59739;4066
"San Luis Potosi";"Mexico";22.1565;-100.9855;104648;6667
"Sinaloa";"Mexico";25.1721;-107.4795;74231;8807
"Sonora";"Mexico";29.2972;-110.3309;115523;8641
"Tabasco";"Mexico";17.8409;-92.6189;143380;5576
"Tamaulipas";"Mexico";24.2669;-98.8363;102622;6912
"Tlaxcala";"Mexico";19.3139;-98.2404;29382;2977
"Veracruz";"Mexico";19.1738;-96.1342;123552;14752
"Yucatan";"Mexico";20.7099;-89.0943;74836;5632
"Zacatecas";"Mexico";22.7709;-102.5832;41903;3400
"Micronesia";"Micronesia";7.4256;150.5508;1;0
"Moldova";"Moldova";47.4116;28.3699;358202;8834
"Monaco";"Monaco";43.7333;7.4167;3554;36
"Mongolia";"Mongolia";46.8625;103.8467;377674;1948
"Montenegro";"Montenegro";42.708678;19.37439;154758;2245
"Morocco";"Morocco";31.7917;-7.0926;948923;14761
"Mozambique";"Mozambique";-18.665695;35.529562;151488;1938
"Namibia";"Namibia";-22.9576;18.4904;129091;3569
"Nepal";"Nepal";28.1667;84.25;819019;11496
"Aruba";"Netherlands";12.5211;-69.9683;16202;173
"Bonaire, Sint Eustatius and Saba";"Netherlands";12.1784;-68.2385;2714;21
"Curacao";"Netherlands";12.1696;-68.99;17321;176
"Drenthe";"Netherlands";52.862485;6.618435;48480;378
"Flevoland";"Netherlands";52.550383;5.515162;55609;274
"Friesland";"Netherlands";53.087337;5.7925;70484;508
"Gelderland";"Netherlands";52.061738;5.939114;279923;2239
"Groningen";"Netherlands";53.217922;6.741514;59430;281
"Limburg";"Netherlands";51.209227;5.93387;173169;1830
"Noord-Brabant";"Netherlands";51.561174;5.184942;374112;3274
"Noord-Holland";"Netherlands";52.600906;4.918688;406033;2817
"Overijssel";"Netherlands";52.444558;6.441722;159523;1223
"Sint Maarten";"Netherlands";18.0425;-63.0548;4561;75
"Utrecht";"Netherlands";52.084251;5.163824;190479;1337
"Zeeland";"Netherlands";51.47936;3.861559;45618;269
"Zuid-Holland";"Netherlands";51.937835;4.462114;570096;4521
"Cook Islands";"New Zealand";-21.2367;-159.7777;1;0
"New Zealand";"New Zealand";-40.9006;174.886;10176;40
"Nicaragua";"Nicaragua";12.865416;-85.207229;17023;211
"Niger";"Niger";17.607789;8.081666;6836;242
"Nigeria";"Nigeria";9.082;8.6753;213589;2974
"North Macedonia";"North Macedonia";41.6086;21.7453;212220;7436
"Norway";"Norway";60.472;8.4689;242911;999
"Oman";"Oman";21.512583;55.923255;304492;4113
"Azad Jammu and Kashmir";"Pakistan";34.027401;73.947253;34536;741
"Balochistan";"Pakistan";28.328492;65.898403;33444;358
"Gilgit-Baltistan";"Pakistan";35.792146;74.982138;10406;186
"Islamabad";"Pakistan";33.665087;73.121219;107483;952
"Khyber Pakhtunkhwa";"Pakistan";34.485332;72.09169;179604;5816
"Punjab";"Pakistan";30.811346;72.139132;442479;12999
"Sindh";"Pakistan";26.009446;68.776807;474243;7611
"Palau";"Palau";7.515;134.5825;8;0
"Panama";"Panama";8.538;-80.7821;475997;7353
"Papua New Guinea";"Papua New Guinea";-6.314993;143.95555;34442;486
"Paraguay";"Paraguay";-23.4425;-58.4438;462198;16354
"Amazonas";"Peru";-5.077253;-78.050172;32068;1259
"Ancash";"Peru";-9.407125;-77.671795;78580;6700
"Apurimac";"Peru";-14.027713;-72.975378;26468;1519
"Arequipa";"Peru";-15.843524;-72.475539;115992;9698
"Ayacucho";"Peru";-14.091648;-74.08344;34484;2133
